time,ax,ay,az,aT
1.228000,-1.0158,-0.7451,0.7758,1.480
1.239000,-1.3444,1.3075,2.3183,2.982
1.279000,-0.2510,-0.8599,-1.6266,1.857
1.281000,2.0264,-1.2941,-2.7285,3.637
1.282000,1.5629,-1.2194,-2.8481,3.470
1.283000,1.8176,-1.1207,-2.0988,2.994
1.288000,0.2910,-0.5214,-1.6036,1.711
1.309000,0.2514,-0.4454,-1.1200,1.231
1.312000,0.6330,-0.9393,-0.8682,1.427
1.325000,0.1421,0.0425,0.2313,0.275
1.329000,-0.1387,0.4506,0.9409,1.052
1.339000,-0.5128,0.4880,1.6391,1.785
1.357000,0.7030,0.3381,1.1951,1.427
1.381000,2.9477,0.4837,0.3299,3.005
1.384000,3.5925,0.0892,0.3023,3.606
1.387000,2.0704,-0.5103,0.2052,2.142
1.390000,0.2597,0.8564,0.9894,1.334
1.399000,-2.0515,-0.2543,1.0289,2.309
1.409000,-4.0994,-0.6319,1.1081,4.293
1.419000,-4.2968,-1.5711,0.2007,4.579
1.428000,0.4028,-0.3007,-0.0166,0.503
1.438000,3.1137,-1.6418,-3.9885,5.320
1.460000,3.9377,-0.8156,-3.3861,5.257
1.475000,2.6629,-1.6666,-2.3152,3.902
1.477000,1.6352,-1.7436,-0.8906,2.551
1.478000,1.1311,-1.6328,-0.2877,2.007
1.489000,-0.4330,-0.7205,0.4921,0.974
1.502000,-2.6524,-0.4857,0.8638,2.831
1.508000,-3.6117,-1.0265,1.9316,4.222
1.519000,-2.7692,-0.7998,2.3906,3.745
1.528000,-0.7489,-1.2462,2.4981,2.890
1.545000,0.7912,-0.7431,1.4935,1.846
1.566000,1.8358,-0.8644,0.6111,2.119
1.569000,1.4480,-0.8763,-0.1145,1.696
1.571000,0.9381,-1.0398,-0.1367,1.407
1.579000,0.5219,-0.8898,0.2354,1.058
1.588000,0.4715,-0.6173,0.6116,0.989
1.601000,0.6519,-0.6840,0.7064,1.180
