time,ax,ay,az,aT
12.502000,2.8298,1.0797,-2.3514,3.834
12.508000,2.8414,1.0970,-2.4089,3.883
12.518000,2.8417,1.0923,-2.4566,3.912
12.528000,2.7888,1.1153,-2.5478,3.939
12.541000,2.7559,1.0651,-2.6204,3.949
12.582000,2.7081,0.9852,-2.7714,3.998
12.588000,2.7132,0.9735,-2.7993,4.018
12.589000,2.6136,0.9192,-2.9632,4.057
12.591000,2.5834,0.9315,-2.9753,4.049
12.592000,2.5264,0.8961,-3.1260,4.118
12.601000,2.5155,0.8846,-3.1226,4.106
12.608000,2.4574,0.8192,-3.2987,4.194
12.620000,2.4488,0.7649,-3.2651,4.152
12.628000,2.3341,0.7437,-3.4523,4.233
12.646000,2.3475,0.7110,-3.4766,4.255
12.650000,2.2766,0.7062,-3.6032,4.320
12.658000,2.2497,0.6808,-3.5929,4.293
12.686000,2.2047,0.7318,-3.6631,4.338
12.689000,2.2041,0.6369,-3.5928,4.263
12.691000,2.0192,0.5910,-3.4992,4.083
12.704000,2.0053,0.5795,-3.4133,4.001
12.708000,1.7731,0.6007,-3.5249,3.991
12.722000,1.7327,0.6414,-3.6783,4.116
12.728000,1.6129,0.5461,-3.7126,4.084
12.746000,1.6301,0.5028,-3.8254,4.189
12.751000,1.5365,0.4750,-3.7612,4.091
12.758000,1.5420,0.4359,-3.7141,4.045
12.789000,1.3907,0.4073,-3.5227,3.809
12.792000,1.3067,0.3649,-3.4841,3.739
12.793000,1.0964,0.2810,-3.3503,3.536
12.802000,1.0664,0.1778,-3.3408,3.511
12.808000,0.9197,-0.0072,-3.1365,3.269
12.818000,0.8952,-0.1090,-3.1043,3.233
12.828000,0.7198,-0.1983,-2.8222,2.919
12.856000,0.6918,-0.3012,-2.8137,2.913
12.859000,0.4933,-0.5224,-2.5282,2.628
12.860000,0.5237,-0.6597,-2.5552,2.690
12.889000,0.3613,-0.8040,-2.2330,2.401
12.893000,0.3286,-0.9539,-2.2344,2.452
12.894000,0.2063,-1.0744,-1.9465,2.233
12.903000,0.1938,-1.1481,-1.9298,2.254
12.908000,0.0892,-1.2780,-1.5775,2.032
12.918000,0.0704,-1.3205,-1.5202,2.015
12.928000,0.0257,-1.4163,-1.2183,1.868
12.951000,0.0663,-1.4488,-1.1416,1.846
12.952000,-0.0073,-1.5483,-0.8521,1.767
12.959000,-0.0517,-1.5420,-0.8673,1.770
12.991000,-0.0183,-1.6399,-0.5644,1.734
12.993000,-0.0416,-1.6279,-0.5332,1.714
12.995000,-0.0288,-1.6537,-0.2625,1.675
13.016000,-0.0357,-1.6480,-0.2227,1.663
13.019000,-0.0141,-1.7248,-0.0480,1.726
13.020000,-0.0757,-1.7277,0.0320,1.730
13.029000,-0.1156,-1.8600,0.2361,1.879
13.039000,-0.1358,-1.8286,0.1684,1.841
13.073000,-0.2127,-1.9463,0.3565,1.990
13.080000,-0.1821,-1.9785,0.3797,2.023
13.082000,-0.3155,-2.0479,0.4609,2.123
13.083000,-0.3379,-2.0749,0.3974,2.139
13.095000,-0.4830,-2.1939,0.4936,2.300
13.117000,-0.4985,-2.2683,0.3983,2.356
13.119000,-0.5902,-2.2850,0.4149,2.396
13.120000,-0.5901,-2.2610,0.3821,2.368
13.129000,-0.7077,-2.3686,0.3806,2.501
13.141000,-0.6894,-2.4330,0.3166,2.549
13.178000,-0.8417,-2.4107,0.3196,2.573
13.189000,-0.8218,-2.4130,0.2588,2.562
13.191000,-0.9069,-2.5054,0.2734,2.678
13.192000,-0.8954,-2.4526,0.1797,2.617
13.192000,-1.0621,-2.5156,0.1843,2.737
13.222000,-1.0060,-2.4721,0.1794,2.675
13.224000,-1.2085,-2.5033,0.2059,2.787
13.226000,-1.1816,-2.4189,0.2014,2.700
13.229000,-1.3660,-2.4916,0.2403,2.852
13.246000,-1.3279,-2.4306,0.2095,2.778
13.251000,-1.5332,-2.4520,0.2514,2.903
13.259000,-1.5525,-2.4908,0.2371,2.945
13.293000,-1.6731,-2.5359,0.3924,3.063
13.296000,-1.6982,-2.5257,0.3534,3.064
13.297000,-1.9201,-2.6394,0.5068,3.303
13.299000,-1.9357,-2.5728,0.4647,3.253
13.320000,-2.0917,-2.7018,0.6283,3.474
13.324000,-2.0085,-2.6626,0.6302,3.394
13.329000,-2.2856,-2.7514,0.8737,3.682
13.345000,-2.2195,-2.8011,0.8142,3.665
13.350000,-2.2702,-2.8932,1.1290,3.847
13.393000,-2.2715,-2.7783,1.1490,3.768
13.402000,-2.3239,-2.9171,1.4374,3.997
13.407000,-2.3228,-2.8883,1.4958,3.997
13.408000,-2.3642,-3.0367,1.7978,4.248
13.409000,-2.3043,-2.9125,1.8543,4.151
13.411000,-2.4060,-2.9879,2.2237,4.434
13.434000,-2.4160,-2.8684,2.3956,4.450
13.437000,-2.5362,-2.9239,2.6758,4.705
13.438000,-2.4563,-2.7267,2.7207,4.568
13.458000,-2.5167,-2.7482,3.0009,4.785
13.461000,-2.4311,-2.5578,2.9816,4.620
13.487000,-2.4337,-2.5658,3.2167,4.781
13.498000,-2.3689,-2.4206,3.2573,4.699
13.502000,-2.3490,-2.4403,3.4837,4.859
13.504000,-2.3380,-2.2640,3.4936,4.775
13.528000,-2.2545,-2.2414,3.6537,4.843
13.532000,-2.2638,-2.1800,3.6397,4.809
13.534000,-2.2478,-2.1389,3.7090,4.836
13.551000,-2.1836,-2.0756,3.6500,4.733
13.557000,-2.1984,-2.0757,3.6943,4.774
13.559000,-2.2036,-1.9912,3.6501,4.706
13.580000,-2.2334,-1.9735,3.6086,4.680
13.582000,-2.2120,-1.9731,3.5669,4.638
13.588000,-2.2456,-1.8478,3.4333,4.499
13.622000,-2.1930,-1.8533,3.3829,4.437
13.625000,-2.2412,-1.7840,3.2577,4.338
13.627000,-2.2335,-1.7761,3.2176,4.301
13.628000,-2.2732,-1.6811,3.0651,4.170
13.647000,-2.2817,-1.6647,3.0117,4.129
13.651000,-2.3545,-1.5993,2.8694,4.042
13.658000,-2.3480,-1.5218,2.8315,3.981
13.693000,-2.3920,-1.4685,2.7014,3.896
13.709000,-2.3493,-1.4349,2.7001,3.856
13.711000,-2.4405,-1.3368,2.6176,3.820
13.712000,-2.4166,-1.2755,2.5625,3.746
13.713000,-2.5005,-1.1812,2.5507,3.762
13.721000,-2.4597,-1.1422,2.5226,3.704
13.728000,-2.5141,-1.0679,2.5045,3.706
13.747000,-2.5282,-1.0030,2.5106,3.701
13.751000,-2.6012,-0.9762,2.5162,3.748
13.759000,-2.5579,-0.8926,2.5036,3.689
13.794000,-2.6175,-0.9265,2.5608,3.777
13.801000,-2.5954,-0.9000,2.5313,3.735
13.802000,-2.5988,-0.8986,2.5860,3.775
13.804000,-2.5817,-0.8840,2.5730,3.751
13.808000,-2.5660,-0.8993,2.6581,3.802
13.821000,-2.5633,-0.9416,2.6445,3.801
13.828000,-2.5613,-0.9218,2.6330,3.787
13.848000,-2.5178,-0.9531,2.7886,3.876
13.852000,-2.4649,-1.0244,2.7876,3.859
13.858000,-2.4296,-1.0323,2.8490,3.884
13.887000,-2.3520,-1.0830,2.9071,3.893
13.890000,-2.3508,-1.0666,2.8986,3.881
13.893000,-2.2749,-1.1448,2.9965,3.933
13.905000,-2.2835,-1.1446,2.9681,3.916
13.925000,-2.1374,-1.1975,3.0542,3.915
13.928000,-2.1520,-1.1609,3.1109,3.957
13.929000,-2.0637,-1.1990,3.1500,3.952
13.953000,-2.0500,-1.2268,3.1151,3.926
13.956000,-1.9966,-1.2474,3.2109,3.981
13.958000,-1.9715,-1.2010,3.1803,3.930
13.986000,-1.8490,-1.2209,3.1855,3.880
13.991000,-1.8249,-1.2008,3.2117,3.884
13.993000,-1.6496,-1.2459,3.1503,3.768
14.022000,-1.6622,-1.2641,3.1853,3.809
14.025000,-1.4221,-1.2793,3.0731,3.620
14.027000,-1.4124,-1.2623,3.0529,3.593
14.028000,-1.2261,-1.2515,2.9659,3.445
14.046000,-1.1414,-1.4026,2.8469,3.373
14.051000,-0.9584,-1.3636,2.7068,3.179
14.060000,-0.9301,-1.4461,2.6523,3.161
14.084000,-0.7596,-1.3988,2.4275,2.903
14.094000,-0.7847,-1.5614,2.3660,2.941
14.096000,-0.5931,-1.4949,2.1330,2.671
14.131000,-0.5600,-1.6234,2.0031,2.638
14.133000,-0.4229,-1.5570,1.7743,2.398
14.135000,-0.3910,-1.6896,1.6625,2.402
14.136000,-0.2881,-1.6029,1.3550,2.119
14.139000,-0.3141,-1.6779,1.2578,2.120
14.158000,-0.1760,-1.6034,0.9402,1.867
14.161000,-0.2289,-1.7281,0.9265,1.974
14.195000,-0.1238,-1.6193,0.5882,1.727
14.198000,-0.1437,-1.6935,0.5229,1.778
14.200000,-0.1224,-1.5992,0.2620,1.625
14.202000,-0.0923,-1.6248,0.2188,1.642
14.218000,-0.0426,-1.5766,-0.0898,1.580
14.218000,-0.0440,-1.5703,-0.1224,1.576
14.243000,0.0010,-1.4829,-0.3259,1.518
14.247000,-0.0363,-1.4801,-0.3582,1.523
14.248000,0.0622,-1.4448,-0.6386,1.581
14.266000,0.0646,-1.4645,-0.6417,1.600
14.270000,0.1333,-1.3902,-0.8354,1.627
14.279000,0.1633,-1.4488,-0.8650,1.695
14.324000,0.1866,-1.4258,-1.0041,1.754
14.327000,0.1709,-1.4754,-1.0723,1.832
14.328000,0.2531,-1.4543,-1.1272,1.857
14.329000,0.2484,-1.5662,-1.1351,1.950
14.330000,0.2970,-1.5546,-1.2762,2.033
14.351000,0.3200,-1.5925,-1.2660,2.059
14.353000,0.4679,-1.5811,-1.2569,2.073
14.358000,0.4722,-1.6619,-1.2968,2.160
14.389000,0.6125,-1.6850,-1.2779,2.202
14.397000,0.6316,-1.6649,-1.2561,2.179
14.399000,0.7770,-1.6337,-1.2302,2.188
14.427000,0.7374,-1.6873,-1.1306,2.161
14.429000,0.9212,-1.6847,-1.1950,2.262
14.431000,0.8942,-1.6279,-1.1051,2.161
14.433000,1.0648,-1.6625,-1.1211,2.270
14.451000,1.0815,-1.5717,-1.0317,2.169
14.456000,1.2632,-1.5950,-1.1125,2.319
14.459000,1.2186,-1.5302,-1.0276,2.210
14.495000,1.3814,-1.5354,-1.1042,2.342
14.502000,1.4116,-1.4678,-1.0879,2.309
14.512000,1.5754,-1.4661,-1.2497,2.489
14.514000,1.5562,-1.4942,-1.2342,2.485
14.517000,1.6816,-1.4342,-1.4347,2.635
14.521000,1.7114,-1.3830,-1.3816,2.598
14.534000,1.8144,-1.3621,-1.6006,2.777
14.538000,1.7955,-1.3659,-1.6145,2.774
14.559000,1.9397,-1.3840,-1.8924,3.043
14.561000,1.9101,-1.3851,-1.8819,3.018
14.593000,2.0178,-1.3516,-2.1801,3.264
14.595000,1.9852,-1.3380,-2.1620,3.226
14.597000,2.1044,-1.3357,-2.4521,3.496
14.606000,2.1139,-1.3026,-2.4525,3.490
14.608000,2.1371,-1.2759,-2.7457,3.706
14.638000,2.1659,-1.1849,-2.7006,3.659
14.641000,2.2183,-1.1565,-2.9823,3.893
14.642000,2.2373,-1.1199,-2.9610,3.876
14.657000,2.2298,-1.1024,-3.2771,4.114
14.661000,2.1994,-0.9959,-3.2106,4.017
14.679000,2.2211,-0.9239,-3.4572,4.212
14.687000,2.2154,-0.8551,-3.3942,4.142
14.694000,2.2307,-0.7585,-3.6265,4.325
14.698000,2.2187,-0.6415,-3.5317,4.220
14.718000,2.2162,-0.5828,-3.7055,4.357
14.720000,2.2074,-0.4822,-3.6296,4.275
14.728000,2.2150,-0.4277,-3.7791,4.401
14.742000,2.2069,-0.3460,-3.6792,4.304
14.767000,2.1922,-0.2555,-3.7895,4.385
14.771000,2.1636,-0.1689,-3.7329,4.318
14.773000,2.2159,-0.1307,-3.7596,4.366
14.779000,2.1897,-0.1159,-3.7319,4.328
14.800000,2.1954,-0.0532,-3.7259,4.325
14.802000,2.2316,-0.0072,-3.6395,4.269
14.814000,2.2906,0.0233,-3.6238,4.287
14.837000,2.2455,0.0788,-3.5575,4.208
14.839000,2.2597,0.1240,-3.5010,4.169
14.841000,2.2507,0.1338,-3.4357,4.109
14.859000,2.3347,0.1745,-3.3445,4.083
14.863000,2.3230,0.2297,-3.3187,4.057
14.899000,2.4009,0.2336,-3.1938,4.002
14.905000,2.3293,0.2407,-3.1478,3.923
14.907000,2.4360,0.3056,-3.0823,3.941
14.908000,2.4050,0.3916,-3.0090,3.872
14.909000,2.4391,0.3890,-2.8912,3.803
14.933000,2.4296,0.4437,-2.8859,3.798
14.935000,2.4844,0.4916,-2.7441,3.734
14.938000,2.4794,0.5056,-2.7305,3.723
14.959000,2.5074,0.5951,-2.6604,3.704
14.962000,2.4978,0.6352,-2.6074,3.666
15.001000,2.5346,0.6693,-2.5748,3.674
15.009000,2.5533,0.6783,-2.5248,3.654
15.010000,2.5616,0.7196,-2.5242,3.668
15.011000,2.5138,0.7596,-2.4770,3.610
15.012000,2.5608,0.7803,-2.4928,3.658
15.019000,2.5179,0.8657,-2.4485,3.617
15.027000,2.5134,0.8470,-2.4875,3.636
15.046000,2.4921,0.8773,-2.4432,3.599
15.052000,2.5014,0.8433,-2.5487,3.669
15.058000,2.4919,0.8497,-2.5085,3.636
15.074000,2.4545,0.8217,-2.5846,3.658
15.080000,2.4451,0.8448,-2.5679,3.645
15.102000,2.3640,0.8056,-2.6424,3.636
15.116000,2.3358,0.7998,-2.6061,3.590
15.119000,2.2648,0.7327,-2.7662,3.649
15.121000,2.2448,0.7291,-2.7850,3.651
15.129000,2.1679,0.7454,-2.8615,3.667
15.154000,2.1431,0.7586,-2.8375,3.636
15.157000,2.0296,0.7125,-2.9431,3.645
15.158000,2.0031,0.7039,-2.9726,3.653
15.171000,1.9102,0.6880,-3.1064,3.711
15.178000,1.8963,0.6913,-3.0822,3.684
15.195000,1.7044,0.7074,-3.1297,3.633
15.202000,1.7371,0.6768,-3.0577,3.581
15.208000,1.6466,0.6603,-3.1300,3.598
15.238000,1.7054,0.5937,-3.1004,3.588
15.241000,1.5663,0.5681,-3.0340,3.461
15.243000,1.3810,0.5321,-3.1329,3.465
15.254000,1.1947,0.5206,-3.1186,3.380
15.258000,1.1570,0.4577,-3.2139,3.446
15.285000,1.0629,0.3767,-3.1885,3.382
15.290000,1.0756,0.2703,-3.1330,3.323
15.291000,0.9309,0.2459,-3.0638,3.212
15.318000,0.9398,0.2324,-3.0519,3.202
15.321000,0.7708,0.1936,-2.9134,3.020
15.322000,0.7167,0.1219,-2.9143,3.004
15.329000,0.6305,-0.0288,-2.7753,2.846
15.339000,0.6199,-0.1442,-2.7579,2.830
15.349000,0.5162,-0.2557,-2.4728,2.539
15.367000,0.5299,-0.3237,-2.4344,2.512
15.373000,0.4370,-0.3694,-2.1272,2.203
15.378000,0.4060,-0.4163,-2.0757,2.156
15.412000,0.3276,-0.4929,-1.8455,1.938
15.416000,0.3469,-0.5879,-1.7946,1.920
15.417000,0.2827,-0.7176,-1.4675,1.658
15.418000,0.3257,-0.7479,-1.4704,1.682
15.428000,0.2156,-0.8305,-1.1831,1.462
15.439000,0.2115,-0.8152,-1.1607,1.434
15.460000,0.2342,-0.8674,-0.7804,1.190
15.462000,0.1940,-0.8897,-0.7503,1.180
15.468000,0.2087,-0.9480,-0.6886,1.190
15.478000,0.1715,-0.9951,-0.4219,1.094
15.491000,0.0714,-1.0249,-0.2267,1.052
15.507000,0.1108,-0.9956,-0.2165,1.025
15.511000,0.0142,-1.0867,-0.0591,1.088
15.520000,0.0330,-1.0906,-0.1313,1.099
15.528000,-0.0718,-1.1875,-0.0169,1.190
15.541000,-0.0237,-1.2055,-0.0377,1.206
15.568000,-0.1427,-1.2850,0.0266,1.293
15.570000,-0.1552,-1.3148,-0.0495,1.325
15.570000,-0.2973,-1.3664,-0.0313,1.399
15.578000,-0.3009,-1.4415,-0.0502,1.473
15.605000,-0.3883,-1.4924,-0.0567,1.543
15.608000,-0.4381,-1.5459,-0.0970,1.610
15.610000,-0.5288,-1.5563,-0.1231,1.648
15.621000,-0.5177,-1.6290,-0.1868,1.719
15.628000,-0.6706,-1.6830,-0.1881,1.821
15.639000,-0.6623,-1.6982,-0.2204,1.836
15.663000,-0.8474,-1.7347,-0.2023,1.941
15.669000,-0.8348,-1.7520,-0.2036,1.951
15.672000,-0.9266,-1.8286,-0.1829,2.058
15.679000,-0.9437,-1.8241,-0.2202,2.066
15.708000,-1.1046,-1.8185,-0.1854,2.136
15.712000,-1.0678,-1.8159,-0.1727,2.114
15.713000,-1.2424,-1.8772,-0.1183,2.254
15.721000,-1.1875,-1.8526,-0.1086,2.203
15.728000,-1.3619,-1.9099,0.0214,2.346
15.739000,-1.3463,-1.8796,0.0228,2.312
15.764000,-1.5046,-1.9004,0.1695,2.430
15.769000,-1.4970,-1.9241,0.1839,2.445
15.770000,-1.6013,-1.9745,0.3405,2.565
15.778000,-1.5858,-1.9349,0.3537,2.527
15.814000,-1.7490,-2.0423,0.5532,2.745
15.818000,-1.7178,-2.0398,0.5241,2.718
15.819000,-1.8009,-2.0847,0.7306,2.850
15.820000,-1.7836,-2.1095,0.7476,2.862
15.828000,-1.9333,-2.1475,0.9425,3.039
15.839000,-1.9149,-2.1566,0.9176,3.026
15.859000,-2.0056,-2.2232,1.1756,3.217
15.867000,-1.9609,-2.1355,1.1256,3.110
15.869000,-2.1705,-2.2873,1.3314,3.423
15.878000,-2.1601,-2.2146,1.3351,3.369
15.898000,-2.1106,-2.3073,1.5557,3.493
15.901000,-2.0633,-2.1594,1.6370,3.406
15.909000,-2.0757,-2.2090,1.9373,3.597
15.918000,-2.0105,-2.0392,1.7792,3.371
15.928000,-1.9008,-2.1413,1.9558,3.467
15.938000,-1.8253,-2.0498,1.9595,3.372
15.948000,-1.8530,-2.0998,2.1354,3.522
15.962000,-1.8354,-2.0242,2.1577,3.482
15.968000,-1.9247,-1.9991,2.3621,3.644
15.978000,-1.9616,-1.9776,2.3672,3.655
16.013000,-2.0804,-1.9198,2.5697,3.823
16.017000,-2.0764,-1.8641,2.6200,3.828
16.019000,-2.1373,-1.8713,2.6790,3.905
16.020000,-2.0739,-1.7725,2.7176,3.851
16.030000,-2.1096,-1.8123,2.7910,3.940
16.039000,-2.0681,-1.7181,2.8129,3.891
16.048000,-2.0497,-1.6570,2.8565,3.887
16.058000,-1.9897,-1.6850,2.8259,3.845
16.077000,-2.0420,-1.6406,2.8680,3.884
16.080000,-1.9726,-1.6210,2.8019,3.791
16.116000,-2.0741,-1.6803,2.8053,3.872
16.119000,-2.1184,-1.6247,2.7562,3.837
16.121000,-2.1429,-1.5765,2.7344,3.815
16.122000,-2.1534,-1.5430,2.6908,3.776
16.128000,-2.1755,-1.4385,2.6526,3.720
16.138000,-2.1502,-1.4106,2.6338,3.681
16.149000,-2.1933,-1.3562,2.5342,3.616
16.158000,-2.1751,-1.3216,2.5496,3.603
16.177000,-2.2141,-1.2757,2.4866,3.565
16.182000,-2.2407,-1.2561,2.4381,3.542
16.213000,-2.2945,-1.2646,2.3761,3.537
16.218000,-2.2706,-1.1738,2.3333,3.461
16.219000,-2.3240,-1.1290,2.2806,3.446
16.220000,-2.2856,-1.0913,2.2981,3.420
16.229000,-2.2962,-1.0228,2.3007,3.408
16.239000,-2.3034,-0.9547,2.2186,3.338
16.250000,-2.3557,-0.8795,2.2327,3.363
16.258000,-2.3149,-0.9288,2.2201,3.339
16.276000,-2.3265,-0.8628,2.2036,3.319
16.279000,-2.3120,-0.8479,2.1580,3.274
16.294000,-2.3617,-0.8316,2.1981,3.332
16.319000,-2.2970,-0.8406,2.1811,3.277
16.322000,-2.3334,-0.8470,2.1730,3.299
16.324000,-2.3228,-0.8824,2.2265,3.336
16.329000,-2.3499,-0.8881,2.2872,3.397
16.340000,-2.2875,-0.8870,2.2838,3.352
16.353000,-2.2747,-0.9450,2.3657,3.415
16.358000,-2.2604,-0.9409,2.3877,3.420
16.377000,-2.2179,-0.9573,2.4509,3.441
16.379000,-2.2064,-0.9484,2.4271,3.414
16.418000,-2.0864,-1.0355,2.5118,3.426
16.420000,-2.0853,-0.9975,2.4991,3.404
16.421000,-1.9005,-1.0343,2.6179,3.396
16.422000,-1.8914,-1.0104,2.6281,3.392
16.428000,-1.7216,-1.0260,2.7152,3.375
16.439000,-1.7210,-0.9782,2.7010,3.349
16.451000,-1.6067,-1.0035,2.8164,3.394
16.458000,-1.5999,-0.9962,2.7990,3.374
16.468000,-1.4554,-1.0108,2.8672,3.371
16.478000,-1.4188,-1.0130,2.8277,3.322
16.494000,-1.2931,-1.0556,2.8528,3.305
16.515000,-1.2909,-1.0695,2.8579,3.313
16.517000,-1.1499,-1.0605,2.8098,3.216
16.519000,-1.1627,-1.0701,2.7767,3.195
16.537000,-1.0518,-1.0299,2.7090,3.083
16.540000,-1.0200,-1.1118,2.6589,3.057
16.562000,-0.9468,-1.1323,2.5323,2.931
16.567000,-0.9321,-1.1433,2.4278,2.841
16.568000,-0.8572,-1.1442,2.2883,2.698
16.586000,-0.8121,-1.2086,2.2533,2.683
16.589000,-0.7284,-1.2022,2.0031,2.447
16.620000,-0.7268,-1.2584,1.9643,2.443
16.629000,-0.5609,-1.2346,1.6767,2.156
16.630000,-0.5746,-1.2734,1.6037,2.127
16.632000,-0.4752,-1.2016,1.3167,1.845
16.660000,-0.4847,-1.2779,1.2886,1.878
16.664000,-0.3919,-1.2596,0.9968,1.653
16.666000,-0.4375,-1.2467,0.9592,1.633
16.684000,-0.3425,-1.2353,0.6697,1.446
16.687000,-0.3243,-1.2837,0.6367,1.469
16.688000,-0.2869,-1.2290,0.3511,1.310
16.729000,-0.3093,-1.2192,0.3067,1.295
16.732000,-0.2347,-1.1353,0.1071,1.164
16.734000,-0.2149,-1.2173,0.1004,1.240
16.735000,-0.1448,-1.1379,-0.0933,1.151
16.740000,-0.1638,-1.1921,-0.1336,1.211
16.762000,-0.1408,-1.1479,-0.2779,1.189
16.764000,-0.0816,-1.1502,-0.3093,1.194
16.785000,0.0203,-1.0913,-0.4203,1.170
16.789000,0.0208,-1.1250,-0.3862,1.190
16.789000,0.1714,-1.1124,-0.5079,1.235
16.836000,0.1206,-1.1201,-0.4802,1.225
16.839000,0.2489,-1.1342,-0.5684,1.293
16.840000,0.2185,-1.1779,-0.5782,1.330
16.841000,0.3442,-1.1833,-0.6037,1.372
16.841000,0.3553,-1.1934,-0.5729,1.371
16.868000,0.4280,-1.2352,-0.6477,1.459
16.871000,0.4523,-1.2525,-0.6546,1.484
16.872000,0.5432,-1.2734,-0.6850,1.545
16.878000,0.5567,-1.2643,-0.6441,1.524
16.893000,0.6776,-1.3026,-0.6431,1.603
16.918000,0.6470,-1.2813,-0.6121,1.560
16.922000,0.8026,-1.2471,-0.6864,1.634
16.923000,0.7919,-1.2760,-0.6882,1.652
16.929000,0.9546,-1.2704,-0.6945,1.734
16.962000,0.9637,-1.2416,-0.6795,1.712
16.967000,1.1202,-1.2517,-0.8025,1.862
16.968000,1.1300,-1.2108,-0.7483,1.817
16.969000,1.2777,-1.1977,-0.8765,1.958
16.979000,1.3049,-1.1830,-0.8902,1.974
16.988000,1.4358,-1.1234,-1.0412,2.099
17.023000,1.3975,-1.1326,-0.9844,2.051
17.027000,1.5702,-1.1509,-1.1712,2.272
17.029000,1.5188,-1.0883,-1.1747,2.207
17.030000,1.5149,-1.1070,-1.1428,2.197
17.038000,1.6702,-1.0679,-1.3971,2.425
17.060000,1.7204,-1.0450,-1.5342,2.531
17.062000,1.6628,-1.0279,-1.5482,2.494
17.085000,1.7880,-1.0462,-1.7518,2.713
17.088000,1.7322,-1.0338,-1.7779,2.689
17.091000,1.7884,-1.0276,-1.9624,2.847
17.100000,1.7921,-0.9743,-1.9555,2.826
17.125000,1.8175,-0.9372,-2.1723,2.983
17.128000,1.7950,-0.9317,-2.1183,2.929
17.129000,1.8393,-0.8389,-2.3808,3.123
17.138000,1.8550,-0.8044,-2.3201,3.078
17.160000,1.8159,-0.7939,-2.3124,3.046
17.162000,1.8615,-0.7641,-2.5261,3.230
17.184000,1.8895,-0.7064,-2.6775,3.352
17.187000,1.8342,-0.6355,-2.6213,3.262
17.190000,1.9233,-0.5663,-2.7850,3.432
17.227000,1.8397,-0.4951,-2.7209,3.322
17.230000,1.8851,-0.3979,-2.8870,3.471
17.231000,1.8688,-0.3744,-2.8531,3.431
17.234000,1.8916,-0.3303,-2.9456,3.516
17.260000,1.8234,-0.2587,-2.9328,3.463
17.266000,1.8929,-0.2095,-3.0518,3.597
17.267000,1.9178,-0.1185,-3.0360,3.593
17.268000,1.9182,-0.1073,-3.0964,3.644
17.279000,1.8481,-0.0784,-3.0519,3.569
17.288000,1.9685,-0.0253,-3.1133,3.684
17.324000,1.9387,0.0110,-3.0499,3.614
17.327000,1.9423,0.0462,-3.0711,3.634
17.329000,1.9509,0.0706,-3.0580,3.628
17.330000,1.9899,0.0815,-3.0254,3.622
17.349000,1.9697,0.0821,-3.0531,3.634
17.352000,2.0203,0.1568,-3.0071,3.626
17.360000,2.0263,0.1574,-2.9283,3.564
17.373000,2.0476,0.1984,-2.9167,3.569
17.378000,2.0394,0.2732,-2.8721,3.533
17.425000,2.0593,0.2369,-2.8413,3.517
17.428000,2.0558,0.2997,-2.7807,3.471
17.432000,2.1110,0.2804,-2.7354,3.467
17.433000,2.1001,0.3527,-2.6781,3.422
17.434000,2.1259,0.3647,-2.6147,3.390
17.445000,2.1554,0.4179,-2.5300,3.350
17.448000,2.1922,0.4615,-2.4418,3.314
17.467000,2.2071,0.4860,-2.4132,3.306
17.469000,2.2318,0.5241,-2.3820,3.306
17.478000,2.2227,0.5341,-2.3587,3.285
17.507000,2.2442,0.5743,-2.2880,3.256
17.520000,2.2399,0.6155,-2.2941,3.265
17.522000,2.2321,0.6682,-2.2119,3.213
17.523000,2.2304,0.6758,-2.1688,3.184
17.552000,2.2662,0.6774,-2.1874,3.222
17.554000,2.2332,0.6801,-2.2039,3.210
17.556000,2.1997,0.6976,-2.1911,3.182
17.558000,2.1886,0.7362,-2.1838,3.178
17.577000,2.1616,0.7265,-2.2472,3.202
17.583000,2.1339,0.6931,-2.2322,3.165
17.613000,2.0662,0.6939,-2.2996,3.168
17.623000,2.0653,0.7202,-2.2487,3.137
17.625000,1.9898,0.6491,-2.3693,3.161
17.626000,1.9677,0.6729,-2.3627,3.148
17.630000,1.8945,0.6898,-2.4371,3.163
17.655000,1.8659,0.6775,-2.4632,3.163
17.657000,1.7711,0.6207,-2.5622,3.176
17.659000,1.7360,0.5963,-2.5681,3.157
17.683000,1.6495,0.5731,-2.6541,3.177
17.688000,1.5746,0.5340,-2.6472,3.126
17.690000,1.5165,0.5628,-2.7044,3.151
17.731000,1.4664,0.5619,-2.6828,3.109
17.744000,1.3783,0.5348,-2.7831,3.151
17.748000,1.3527,0.5122,-2.8009,3.152
17.749000,1.2925,0.5602,-2.8368,3.167
17.751000,1.2318,0.4990,-2.7664,3.069
17.752000,1.1300,0.4619,-2.7546,3.013
17.758000,1.1440,0.4507,-2.7558,3.018
17.793000,1.0163,0.3923,-2.7385,2.947
17.799000,0.9718,0.3974,-2.7396,2.934
17.800000,0.8514,0.3000,-2.7032,2.850
17.803000,0.8648,0.2545,-2.6688,2.817
17.808000,0.7318,0.2439,-2.5810,2.694
17.826000,0.7032,0.1931,-2.5641,2.666
17.831000,0.6216,0.1265,-2.4202,2.502
17.851000,0.6291,0.0418,-2.3714,2.454
17.854000,0.5743,-0.0050,-2.1840,2.258
17.859000,0.5700,-0.0613,-2.1351,2.211
17.877000,0.5124,-0.1281,-1.8863,1.959
17.883000,0.4987,-0.2014,-1.8260,1.904
17.912000,0.4286,-0.2121,-1.5488,1.621
17.925000,0.4320,-0.2853,-1.5345,1.619
17.926000,0.3943,-0.3745,-1.2958,1.405
